,FeatureIdx,Count_Fibroblast(EdUScreen),Count_EdUPositive(EdUScreen),RatioEduPositive(EdUScreen),Mean_Mean_Cytoplasm_Intensity_IntegratedIntensity_CorrSMA,Mean_Macrophage_count,Nuclei_Count(aSMA),Cell_Count(aSMA)
1276,1785,10.35,6.35,0.6412651931401931,172.54861649174234,22.375,10.0,9.894736842105264
1277,1786,10.35,6.15,0.6338472393619452,171.38316679400117,19.375,8.0,9.105263157894736
1278,1787,8.888888888888891,5.5555555555555545,0.6758099834080227,187.73851956087884,21.0,7.0,8.421052631578947
1279,1788,9.05,4.75,0.6300324675324674,169.18232870222403,19.125,8.0,8.842105263157897
1280,1790,9.85,6.25,0.6710074402721462,156.32176878832837,20.25,9.0,8.444444444444445
1281,1792,8.736842105263158,5.63157894736842,0.6668786579777292,157.78810802227983,21.875,8.0,7.947368421052633
1282,1793,9.777777777777779,6.333333333333332,0.6961489898989899,156.95313162271262,21.125,9.0,9.789473684210526
1283,1794,10.85,5.75,0.5373370379620379,166.2601898283207,20.75,10.0,8.85
1284,1795,9.05,5.65,0.6756949749596809,137.94428032921832,22.125,8.5,8.7
1285,1796,8.65,5.35,0.6658705020469726,186.52288016102364,22.25,7.0,8.210526315789473
1286,1797,8.210526315789473,6.526315789473684,0.8419498630024945,195.70839922637447,18.375,6.5,7.9
1287,1798,9.15,4.75,0.5691738816738816,181.33493256575943,17.875,8.0,8.947368421052632
1288,1799,8.4,5.15,0.667317821067821,169.0654972657967,23.75,8.0,8.526315789473685
1289,1800,9.05,5.75,0.6659595959595961,157.40502743439208,21.571428571428577,7.0,7.7
1290,1801,8.75,4.9,0.5876362526362526,178.4000739019997,24.25,6.5,7.25
1291,1802,9.3,5.85,0.6859138533035593,162.08516630757975,26.75,7.5,7.85
1292,1803,8.5,5.4,0.7369817682317683,182.60800089956692,23.75,7.5,7.6
1293,1804,9.3,5.35,0.5743772893772893,188.89184884523567,22.0,7.5,8.1
1294,1805,9.3,6.6,0.7591071428571428,169.8730305475022,24.0,7.0,7.36842105263158
1295,1806,8.8,4.85,0.6447039072039071,155.9490500522542,21.285714285714285,7.5,8.0
1296,1808,8.842105263157897,5.57894736842105,0.7350808548176969,161.29741917501374,23.0,9.0,9.2
1297,1809,9.052631578947368,8.421052631578947,1.0377738489580597,176.5961629681189,24.875,9.0,9.4
1298,1811,9.666666666666666,5.777777777777778,0.6666687195195967,189.1861252807975,14.0,9.0,9.65
1299,1812,11.4,5.55,0.5177233877233878,175.5183132555891,20.25,8.5,8.05
1300,1813,10.9375,6.625,0.7037018332974215,177.64113814234122,20.5,9.0,8.789473684210527
1301,1817,9.473684210526317,5.368421052631579,0.5828243394032869,175.51885605892144,19.714285714285715,7.0,8.588235294117647
1302,1820,9.894736842105264,5.526315789473684,0.5629286348326596,170.72366950062488,18.625,8.0,9.947368421052632
1303,1821,9.3,4.65,0.5394988344988345,167.83609306411898,20.5,7.0,7.45
1304,1822,9.35,5.3,0.6150319125319126,156.16009615344004,19.0,9.5,10.0
1305,1823,9.3,4.3,0.5233568147538735,165.0196355712893,20.875,8.0,8.5
1306,1824,9.1,5.3,0.6732098293862999,163.76650943349156,18.75,8.0,7.75
1307,1825,9.944444444444443,5.5555555555555545,0.6896467729801063,175.30074290243957,14.75,7.5,7.3
1308,1826,9.105263157894736,6.105263157894738,0.6944441995912585,176.68210337667728,21.5,8.0,8.55
1309,1827,9.842105263157897,5.842105263157895,0.6834140403799844,187.1425551184837,21.75,7.5,7.95
1310,1829,8.9,10.55,1.0353571428571429,163.8274980057494,20.875,9.0,9.4
1311,1830,8.0,5.315789473684211,0.8057568162831321,140.9200055166163,21.875,9.5,10.222222222222221
1312,1831,10.2,5.9,0.6021842740592739,170.35322705992266,20.75,8.0,8.85
